app,category,rating_raw,n_reviews_store,installs,price_raw,genre,rating_norm,prob_positivo,sentiment_label,score_fuzzy
Coloring book moana,ART_AND_DESIGN,3.9,967,"500,000+",0,Art & Design;Pretend Play,0.725,0.7024597337143199,Positivo,8.7634
Garden Coloring Book,ART_AND_DESIGN,4.4,13791,"1,000,000+",0,Art & Design,0.8500000000000001,0.7890956698550826,Positivo,8.8333
FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,"5,000,000+",0,Art & Design,0.825,0.863327616728002,Positivo,8.8333
Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654,"100,000+",0,Art & Design,0.7749999999999999,0.7664876879230549,Positivo,8.8333
Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260,"500,000+",0,Art & Design;Creativity,0.925,0.7505068878546152,Positivo,8.8333
Animated Photo Editor,ART_AND_DESIGN,4.1,203,"100,000+",0,Art & Design,0.7749999999999999,0.7675759896906683,Positivo,8.8333
Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,"100,000+",0,Art & Design,0.875,0.7706474178049465,Positivo,8.8333
Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,"100,000+",0,Art & Design,0.8,0.678305778672585,Positivo,8.7253
Floor Plan Creator,ART_AND_DESIGN,4.1,36639,"5,000,000+",0,Art & Design,0.7749999999999999,0.7787483649701795,Positivo,8.8333
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,"10,000,000+",0,Art & Design,0.925,0.7452553497438212,Positivo,8.8267
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,"100,000+",0,Auto & Vehicles,0.9750000000000001,0.8238842389106803,Positivo,8.8333
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,"100,000+",0,Auto & Vehicles,0.8999999999999999,0.8337140142043667,Positivo,8.8333
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,"100,000+",0,Auto & Vehicles,0.9750000000000001,0.8585091312240625,Positivo,8.8333
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,"10,000,000+",0,Auto & Vehicles,0.8,0.8053192794389308,Positivo,8.8333
Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,"100,000+",0,Auto & Vehicles,0.875,0.3921525255629302,Negativo,4.982
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,"100,000+",0,Auto & Vehicles,0.825,0.7875073211163551,Positivo,8.8333
AutoScout24 Switzerland – Find your new car,AUTO_AND_VEHICLES,4.6,13372,"1,000,000+",0,Auto & Vehicles,0.8999999999999999,0.8169982194474508,Positivo,8.8333
Fuelio: Gas log & costs,AUTO_AND_VEHICLES,4.6,65786,"1,000,000+",0,Auto & Vehicles,0.8999999999999999,0.8458752189298707,Positivo,8.8333
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,"500,000+",0,Beauty,0.725,0.5630081200469035,Positivo,6.741
Hairstyles step by step,BEAUTY,4.6,4369,"100,000+",0,Beauty,0.8999999999999999,0.8652531679437372,Positivo,8.8333
Filters for Selfie,BEAUTY,4.3,8572,"1,000,000+",0,Beauty,0.825,0.668690372222401,Positivo,8.7096
Beauty Camera - Selfie Camera,BEAUTY,4.0,113715,"10,000,000+",0,Beauty,0.75,0.6353327670620558,Positivo,8.2768
Filters for B Live,BEAUTY,4.4,2280,"500,000+",0,Beauty,0.8500000000000001,0.7084634822055748,Positivo,8.7727
Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,"100,000+",0,Beauty,0.875,0.7926391005605747,Positivo,8.8333
Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814080,"100,000,000+",0,Books & Reference,0.8,0.6172949452782763,Positivo,7.8343
Cool Reader,BOOKS_AND_REFERENCE,4.5,246315,"10,000,000+",0,Books & Reference,0.875,0.6973744659081863,Positivo,8.7555
Dictionary - Merriam-Webster,BOOKS_AND_REFERENCE,4.5,454060,"10,000,000+",0,Books & Reference,0.875,0.6881092928481028,Positivo,8.7409
Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418,"100,000+",0,Books & Reference,0.875,0.623747730121238,Positivo,7.9868
FBReader: Favorite Book Reader,BOOKS_AND_REFERENCE,4.5,203130,"10,000,000+",0,Books & Reference,0.875,0.7632254961155487,Positivo,8.8333
AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468,"5,000,000+",0,Books & Reference,0.8999999999999999,0.7892122930666521,Positivo,8.8333
FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506,"1,000,000+",0,Books & Reference,0.825,0.7254881665855755,Positivo,8.7982
Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842,"5,000,000+",0,Books & Reference,0.7749999999999999,0.8152912574184632,Positivo,8.8333
All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709,"1,000,000+",0,Books & Reference,0.8500000000000001,0.8221256472351047,Positivo,8.8333
Ancestry,BOOKS_AND_REFERENCE,4.3,64513,"5,000,000+",0,Books & Reference,0.825,0.7643401441738371,Positivo,8.8333
HTC Help,BOOKS_AND_REFERENCE,4.2,8342,"10,000,000+",0,Books & Reference,0.8,0.519115656813914,Positivo,6.5
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788,"1,000,000+",0,Books & Reference,0.8500000000000001,0.8306290049701641,Positivo,8.8333
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269,"1,000,000+",0,Books & Reference,0.8500000000000001,0.7830027774702173,Positivo,8.8333
All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105,"1,000,000+",0,Books & Reference,0.8500000000000001,0.8651647178707779,Positivo,8.8333
Azpen eReader,BOOKS_AND_REFERENCE,3.5,156,"500,000+",0,Books & Reference,0.625,0.6510261954821333,Positivo,8.0171
Docs To Go™ Free Office Suite,BUSINESS,4.1,217730,"50,000,000+",0,Business,0.7749999999999999,0.6954217235166426,Positivo,8.7525
Google My Business,BUSINESS,4.4,70991,"5,000,000+",0,Business,0.8500000000000001,0.7011224157571344,Positivo,8.7614
Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,4.5,4458,"500,000+",0,Business,0.875,0.7970630872076678,Positivo,8.8333
Facebook Pages Manager,BUSINESS,4.0,1279184,"50,000,000+",0,Business,0.75,0.5295594992548672,Positivo,6.5
Box,BUSINESS,4.2,159872,"10,000,000+",0,Business,0.8,0.7649393048830357,Positivo,8.8333
Call Blocker,BUSINESS,4.6,188841,"5,000,000+",0,Business,0.8999999999999999,0.5817008804415528,Positivo,7.0891
